"AU","AF","CR","AB","AR","BA","BE","BF","BN","BP","BS","C1","CA","CL","CT","CY","D2","DA","DE","DI","DT","EA","EF","EFF","EI","EM","EP","ER","FU","FX","GA","GP","HO","ID","IS","J9","JI","LA","NR","OA","OI","PA","PD","PG","PI","PM","PN","PT","PU","PY","RI","RP","SC","SE","SI","SN","SO","SP","SU","TC","TI","U1","U2","UT","VL","WC","Z9","DB","AU_UN","AU1_UN","AU_UN_NR","SR_FULL","SR"
"SHANG YL","SHANG, YILUN","CHEN Y, 2011, SYST CONTROL LETT, V60, P517, DOI 10.1016/J.SYSCONLE.2011.04.009;CHIANG M, 2007, P IEEE, V95, P255, DOI 10.1109/JPROC.2006.887322;CYBENK","WE ADDRESS L 1 GROUP CONSENSUS PROBLEMS OF NETWORKED MULTI-AGENT SYSTEMS WITH FIXED DIRECTED INFORMATION EXCHANGE IN THIS ARTICLE. A DISCRETE-TIME PRO","","","","","","1","","UNIV TEXAS SAN ANTONIO, INST CYBER SECUR, SAN ANTONIO, TX 78249 USA.;","","","","","","2021-08-04","GROUP CONSENSUS; MULTI-AGENT SYSTEM; DIRECTED GRAPH; L 1 CONVERGENCE","10.1080/00207179.2012.715753","ARTICLE","","","","1366-5820","SHYLMATH@HOTMAIL.COM","8","","","","073YD","","","NETWORKS; AGENTS","1","INT J CONTROL","INT. J. CONTROL","ENGLISH","38","","","2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND","JAN 1","8","ABINGDON","","","J","TAYLOR & FRANCIS LTD","2013","","SHANG, YL (CORRESPONDING AUTHOR), UNIV TEXAS SAN ANTONIO, INST CYBER SECUR, SAN ANTONIO, TX 78249 USA.","AUTOMATION & CONTROL SYSTEMS","","","0020-7179","INTERNATIONAL JOURNAL OF CONTROL","","","10","L 1 GROUP CONSENSUS OF MULTI-AGENT SYSTEMS WITH STOCHASTIC INPUTS UNDER DIRECTED INTERACTION TOPOLOGY","0","26","WOS:000313778100001","86","AUTOMATION & CONTROL SYSTEMS","10","ISI","UNIV TEXAS SAN ANTONIO","UNIV TEXAS SAN ANTONIO","","SHANG YL, 2013, INT J CONTROL","SHANG YL, 2013, INT J CONTROL"
"TORRES CRG;PEROTE LCCC;GUTIERREZ NC;PUCCI CR;BORGES AB","TORRES, C. R. G.;PEROTE, L. C. C. C.;GUTIERREZ, N. C.;PUCCI, C. R.;BORGES, A. B.","ASHCROFT AT, 2008, J DENT, V36, PS26, DOI 10.1016/J.JDENT.2008.02.007;BAGHERI R, 2005, J DENT, V33, P389, DOI 10.1016/J.JDENT.2004.10.018;BUREAU CENTR","OBJECTIVES: PEOPLE INCREASINGLY DESIRE TOOTH WHITENING. CONSIDERING THE WIDE RANGE OF WHITENING PRODUCTS ON THE MARKET, THIS STUDY EVALUATED THE EFFIC","","","","","","57","","UNESP UNIV ESTADUAL PAULISTA, SAO PAULO, BRAZIL.;","","","","","","2021-08-04","","10.2341/11-360-L","ARTICLE","","","","1559-2863","CARLOSRGT@FOSJC.UNESP.BR","62","","","","070VD","","","HYDROGEN-PEROXIDE; IN-VITRO; COLOR; SAFETY; DENTIN; ENAMEL","1","OPER DENT","OPER. DENT.","ENGLISH","23","BRONZE","PUCCI, CESAR ROGERIO/0000-0003-4830-0400; BORGES, ALESSANDRA B/0000-0001-7686-089X; TORRES, CARLOS/0000-0002-9485-5514; PUCCI, CESAR ROGERIO/0000-0003","INDIANA UNIV SCHOOL DENTISTRY, ROOM S411, 1121 WEST MICHIGAN ST, INDIANAPOLIS, IN 46202-5186 USA","JAN-FEB","6","INDIANAPOLIS","22770430","","J","OPERATIVE DENTISTRY INC","2013","PUCCI, CESAR ROGERIO/AAC-5846-2019; TORRES, CLAUDIA RODRIGUEZ/R-6827-2019; BORGES, ALESSANDRA B/D-7978-2013; TORRES, CARLOS/F-7217-2012; PUCCI, CESAR","TORRES, CRG (CORRESPONDING AUTHOR), SAO PAULO STATE UNIV, AV ENG FRANCISCO JOSE LONGO,777 JD SAO DIMAS, BR-12245000 SAO JOSE DOS CAMPOS, SP, BRAZIL.","DENTISTRY, ORAL SURGERY & MEDICINE","","","0361-7734","OPERATIVE DENTISTRY","","","23","EFFICACY OF MOUTH RINSES AND TOOTHPASTE ON TOOTH WHITENING","0","25","WOS:000313539900008","38","DENTISTRY, ORAL SURGERY & MEDICINE","27","ISI","UNESP UNIV ESTADUAL PAULISTA","SAO PAULO STATE UNIV","","TORRES CRG, 2013, OPER DENT","TORRES CRG, 2013, OPER DENT"
"ZHU JD;LU JH;YU XH","ZHU, JIANDONG;LU, JINHU;YU, XINGHUO","AJORLOU A, 2011, P AMER CONTR CONF, P499;BAGLIETTO G, 2009, PHYS REV E, V80, DOI 10.1103/PHYSREVE.80.050103;CECCARELLI N, 2008, AUTOMATICA, V44, P3025","MULTI-AGENT SYSTEMS ARE UBIQUITOUS IN THE REAL-WORLD AND HAVE RECEIVED AN INCREASING ATTENTION BY MANY RESEARCHERS WORLDWIDE. A MULTI-AGENT SYSTEM IS","","","","","","199","","NANJING NORMAL UNIV, SCH MATH SCI, NANJING 210046, JIANGSU, PEOPLES R CHINA.;  CHINESE ACAD SCI, INST SYST SCI, ACAD MATH & SYST SCI, BEIJING 100190,","","","","","","2021-08-04","COMPLEX NETWORKS; MULTI-AGENT NONHOLONOMIC SYSTEMS; FLOCKING; COLLISION AVOIDANCE; PROXIMITY GRAPH; PRESERVING CONNECTEDNESS","10.1109/TCSI.2012.2215715","ARTICLE","","","","1558-0806","ZHUJIANDONG@NJNU.EDU.CN; JHLU@ISS.AC.CN; X.YU@RMIT.EDU.AU","210","","NATIONAL NATURAL SCIENCE FOUNDATION OF CHINA (NSFC)NATIONAL NATURAL SCIENCE FOUNDATION OF CHINA (NSFC) [11271194, 61273115, 61074115, 10701042, 610250","THIS WORK WAS SUPPORTED BY THE NATIONAL NATURAL SCIENCE FOUNDATION OF CHINA (NSFC) UNDER GRANTS 11271194, 61273115, 61074115, 10701042, 61025017, AND","069JA","","","SWITCHING TOPOLOGY; KURAMOTO MODEL; SYNCHRONIZATION; CONSENSUS; COORDINATION; NETWORKS; AGENTS; CONNECTIVITY; STABILITY; BEHAVIOR","1","IEEE T CIRCUITS-I","IEEE TRANS. CIRCUITS SYST. I-REGUL. PAP.","ENGLISH","55","","YU, XINGHUO/0000-0001-8093-9787; LU, JINHU/0000-0003-0275-8387","445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","JAN","12","PISCATAWAY","","","J","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2013","YU, XINGHUO/D-8423-2013; LU, JINHU/B-6851-2013","ZHU, JD (CORRESPONDING AUTHOR), NANJING NORMAL UNIV, SCH MATH SCI, NANJING 210046, JIANGSU, PEOPLES R CHINA.","ENGINEERING","","","1549-8328","IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS I-REGULAR PAPERS","","","114","FLOCKING OF MULTI-AGENT NON-HOLONOMIC SYSTEMS WITH PROXIMITY GRAPHS","1","56","WOS:000313430000019","60","ENGINEERING, ELECTRICAL & ELECTRONIC","117","ISI","NANJING NORMAL UNIV;INST SYST SCI;RMIT UNIV","NANJING NORMAL UNIV","","ZHU JD, 2013, IEEE T CIRCUITS-I","ZHU JD, 2013, IEEE T CIRCUITS-I"
"ANAND KV;ROY A;MULLA I;BALBUDHE K;JAYARAMAN K;CHAKRAVARTHY SR","ANAND, K. V.;ROY, AVIRAL;MULLA, IRFAN;BALBUDHE, KISHOR;JAYARAMAN, K.;CHAKRAVARTHY, S. R.","BABUK VA, 2005, PROPELL EXPLOS PYROT, V30, P281, DOI 10.1002/PREP.200500012;BABUK VA, 1999, J PROPUL POWER, V15, P783, DOI 10.2514/2.5497;BANERJEE S,","SIXTEEN PROPELLANT FORMULATIONS BASED ON AMMONIUM PERCHLORATE (AP), HYDROXYL-TERMINATED POLYBUTADIENE, AND ALUMINIUM PARTICLES HAVE BEEN TESTED FOR SI","","","","","","2139","","INDIAN INST TECHNOL, DEPT AEROSP ENGN, MADRAS 600036, TAMIL NADU, INDIA.;","","","","","","2021-08-04","ALUMINIUM AGGLOMERATION; COMPOSITE PROPELLANTS; PLATEAU BURNING; MODEL SIMULATION","10.1016/j.proci.2012.07.024","ARTICLE","","","","1873-2704","SRC@AE.IITM.AC.IN","2146","","HIGH ENERGY MATERIALS RESEARCH LABORATORY, PUNE, INDIA","THIS WORK WAS PARTIALLY SUPPORTED BY THE HIGH ENERGY MATERIALS RESEARCH LABORATORY, PUNE, INDIA.","065ES","","","CONDENSED COMBUSTION PRODUCTS; SOLID-PROPELLANT; COMPUTER-MODEL; SANDWICHES; SURFACE; COLLECTION; PARTICLES; IGNITION","","P COMBUST INST","PROC. COMBUST. INST.","ENGLISH","23","","JAYARAMAN, KANDASAMY/0000-0002-4753-6385; KANDASAMY, JAYARAMAN/0000-0002-4753-6385; MULLA, IRFAN/0000-0003-1508-3083","STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA","","8","NEW YORK","","2","J","ELSEVIER SCIENCE INC","2013","JAYARAMAN, KANDASAMY/AAI-7550-2020; KANDASAMY, JAYARAMAN/E-2913-2016; MULLA, IRFAN/A-1070-2015","CHAKRAVARTHY, SR (CORRESPONDING AUTHOR), INDIAN INST TECHNOL, DEPT AEROSP ENGN, MADRAS 600036, TAMIL NADU, INDIA.","THERMODYNAMICS; ENERGY & FUELS; ENGINEERING","","","1540-7489","PROCEEDINGS OF THE COMBUSTION INSTITUTE","","","27","EXPERIMENTAL DATA AND MODEL PREDICTIONS OF ALUMINIUM AGGLOMERATION IN AMMONIUM PERCHLORATE-BASED COMPOSITE PROPELLANTS INCLUDING PLATEAU-BURNING FORMU","0","32","WOS:000313131800028","34","THERMODYNAMICS; ENERGY & FUELS; ENGINEERING, CHEMICAL; ENGINEERING, MECHANICAL","37","ISI","INDIAN INST TECHNOL","INDIAN INST TECHNOL","","ANAND KV, 2013, P COMBUST INST","ANAND KV, 2013, P COMBUST INST"
"DONNEYS A;WEISS DM;DESHPANDE SS;AHSAN S;TCHANQUE-FOSSUO CN;SARHADDI D;LEVI B;GOLDSTEIN SA;BUCHMAN SR","DONNEYS, ALEXIS;WEISS, DANIELA M.;DESHPANDE, SAGAR S.;AHSAN, SALMAN;TCHANQUE-FOSSUO, CATHERINE N.;SARHADDI, DENIZ;LEVI, BENJAMIN;GOLDSTEIN, STEVEN A.;","AI-AQL ZS, 2008, J DENT RES, V87, P107, DOI 10.1177/154405910808700215;ARONSON J, 1994, CLIN ORTHOP RELAT R, P124;BLATT J, 1988, J LAB CLIN MED, V112,","BACKGROUND: MEDICALLY BASED EFFORTS AND ALTERNATIVE TREATMENT STRATEGIES TO PREVENT OR REMEDIATE THE CORROSIVE EFFECTS OF RADIOTHERAPY ON PATHOLOGIC F","","","","","","318","","UNIV MICHIGAN, CRANIOFACIAL RES LAB, PLAST SURG SECT, ANN ARBOR, MI 48109 USA.;  UNIV MICHIGAN, ORTHOPED RES LAB, DEPT ORTHOPED SURG, ANN ARBOR, MI 48","","","","","","2021-08-04","OSTEORADIONECROSIS; DEFEROXAMINE; PATHOLOGIC FRACTURE; ANGIOGENESIS; NON-UNION; RADIOTHERAPY","10.1016/j.bone.2012.10.014","ARTICLE","","","","1873-2763","SBUCHMAN@MED.UMICH.EDU","325","","NIHUNITED STATES DEPARTMENT OF HEALTH & HUMAN SERVICESNATIONAL INSTITUTES OF HEALTH (NIH) - USA [RO1 CA 12587-01, T32-GM 008616]; NATIONAL CANCER INST","FUNDING SUPPORT PROVIDED BY: NIH RO1 CA 12587-01 TO S. R. BUCHMAN AND NIH T32-GM 008616 FOR ALEXIS DONNEYS.","060BK","","","ANGIOGENESIS; RADIATION; RECONSTRUCTION; REGENERATION; REPAIR; MODEL; IRON; HEAD","1","BONE","BONE","ENGLISH","27","GREEN ACCEPTED","DESHPANDE, SAGAR/0000-0002-6130-613X","STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA","JAN","8","NEW YORK","23085084","","J","ELSEVIER SCIENCE INC","2013","","BUCHMAN, SR (CORRESPONDING AUTHOR), UNIV MICHIGAN, SCH MED, PEDIAT PLAST SURG SECT, CS MOTT CHILDRENS HOSP 4 730, 1540 E HOSP DR, ANN ARBOR, MI 48109","ENDOCRINOLOGY & METABOLISM","","","8756-3282","BONE","","","50","LOCALIZED DEFEROXAMINE INJECTION AUGMENTS VASCULARITY AND IMPROVES BONY UNION IN PATHOLOGIC FRACTURE HEALING AFTER RADIOTHERAPY","2","15","WOS:000312750700037","52","ENDOCRINOLOGY & METABOLISM","51","ISI","UNIV MICHIGAN;UNIV MICHIGAN","UNIV MICHIGAN","","DONNEYS A, 2013, BONE","DONNEYS A, 2013, BONE"
"FORESTIERO A;PIZZUTI C;SPEZZANO G","FORESTIERO, AGOSTINO;PIZZUTI, CLARA;SPEZZANO, GIANDOMENICO","AGGARWAL C., 2007, DATA STREAMS MODELS;AGGARWAL C. C., 2003, P 29 INT C VER LARG, V29, P81, DOI DOI 10.1016/B978-012722442-8/50016-1;AGGARWAL CC, 2006","EXISTING DENSITY-BASED DATA STREAM CLUSTERING ALGORITHMS USE A TWO-PHASE SCHEME APPROACH CONSISTING OF AN ONLINE PHASE, IN WHICH RAW DATA IS PROCESSED","","","","","","1","","NATL RES COUNCIL ITALY CNR, I-87036 ARCAVACATA DI RENDE, CS, ITALY.;","","","","","","2021-08-04","DATA STREAMS; DENSITY-BASED CLUSTERING; BIO-INSPIRED FLOCKING MODEL","10.1007/s10618-011-0242-x","ARTICLE","","","","1573-756X","FORESTIERO@ICAR.CNR.IT; PIZZUTI@ICAR.CNR.IT; SPEZZANO@ICAR.CNR.IT","26","","","","064ZT","","","","1","DATA MIN KNOWL DISC","DATA MIN. KNOWL. DISCOV.","ENGLISH","30","","PIZZUTI, CLARA/0000-0001-7297-7126; FORESTIERO, AGOSTINO/0000-0002-3025-7689","VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS","JAN","26","DORDRECHT","","","J","SPRINGER","2013","FORESTIERO, AGOSTINO/AAW-9191-2020; PIZZUTI, CLARA/O-8885-2015","PIZZUTI, C (CORRESPONDING AUTHOR), NATL RES COUNCIL ITALY CNR, VIA P BUCCI 41C, I-87036 ARCAVACATA DI RENDE, CS, ITALY.","COMPUTER SCIENCE","","","1384-5810","DATA MINING AND KNOWLEDGE DISCOVERY","","","42","A SINGLE PASS ALGORITHM FOR CLUSTERING EVOLVING DATA STREAMS BASED ON SWARM INTELLIGENCE","0","26","WOS:000313116400001","26","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE; COMPUTER SCIENCE, INFORMATION SYSTEMS","44","ISI","NATL RES COUNCIL ITALY CNR","NATL RES COUNCIL ITALY CNR","","FORESTIERO A, 2013, DATA MIN KNOWL DISC","FORESTIERO A, 2013, DATA MIN KNOWL DISC"
"GOWATY PA;HUBBELL SP","GOWATY, PATRICIA ADAIR;HUBBELL, STEPHEN P.","AH-KING M, BEHAV ECOLOGY ANIMAL;ANDERSON WW, 2007, P NATL ACAD SCI USA, V104, P4484, DOI 10.1073/PNAS.0611152104;ARNOLD SJ, 1994, AM NAT, V144, PS126,","FEMALE MATING FAILURES SEEM A PARADOX SIMILAR TO THE PARADOX OF POLYANDRY. TO ILLUSTRATE THE TWIN PARADOXES OF FEMALE MATING FAILURES AND POLYANDRY, W","","","","","","11","","DEPT ECOL & EVOLUTIONARY BIOL, LOS ANGELES, CA 90095 USA.;  INST ENVIRONM & SUSTAINABIL, LOS ANGELES, CA 90095 USA.;  SMITHSONIAN TROP RES INST, WASHI","","","","","","2021-08-04","MULTIPLE INSEMINATIONS; COST OF REPRODUCTION; DEMOGRAPHIC STOCHASTICITY; MATING THEORY; SWITCH POINT THEOREM; SEXUAL CONFLICT","10.1111/eea.12023","ARTICLE","","","","1570-7458","GOWATY@EEB.UCLA.EDU","25","","NSFNATIONAL SCIENCE FOUNDATION (NSF) [IBN-9631801, IBN-0911606, IOS-1121797]; DIVISION OF INTEGRATIVE ORGANISMAL SYSTEMSNATIONAL SCIENCE FOUNDATION (N","WE HAVE PRODUCED THESE MODELS OVER THE LAST 30 YEARS, WORKING TOGETHER FOR THE LAST 15. WE THANK EACH OTHER. WE THANK GABE ACEBO FOR TRANSLATING DYNAM","052TY","","","OPERATIONAL SEX-RATIO; FEMALE MATE CHOICE; DECREASE OFFSPRING VIABILITY; PREDATION RISK; REPRODUCTIVE ASYNCHRONY; SELECTION; PREFERENCES; PARASITES; C","1","ENTOMOL EXP APPL","ENTOMOL. EXP. APPL.","ENGLISH","77","BRONZE","","111 RIVER ST, HOBOKEN 07030-5774, NJ USA","JAN","15","HOBOKEN","","","J","WILEY","2013","","GOWATY, PA (CORRESPONDING AUTHOR), DEPT ECOL & EVOLUTIONARY BIOL, 621 CHARLES E YOUNG DR S, LOS ANGELES, CA 90095 USA.","ENTOMOLOGY","","SI","0013-8703","ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA","","","11","THE EVOLUTIONARY ORIGINS OF MATING FAILURES AND MULTIPLE MATING","0","79","WOS:000312222600003","146","ENTOMOLOGY","11","ISI","INST ENVIRONM AND SUSTAINABIL;SMITHSONIAN TROP RES INST;POLISTES FDN","PA (CORRESPONDING AUTHOR)","","GOWATY PA, 2013, ENTOMOL EXP APPL","GOWATY PA, 2013, ENTOMOL EXP APPL"
"GUO YT;HOSSIENY N;CHU RKM;PARK CB;ZHOU NQ","GUO, YANTING;HOSSIENY, NEMAT;CHU, RAYMOND K. M.;PARK, CHUL B.;ZHOU, NANQIAO","AGARWAL PK, 2003, MACROMOLECULES, V36, P5226, DOI 10.1021/MA034154L;BARNETSON A., 2004, HDB POLYM FOAMS, P37;BEHRAVESH AH, 2010, POLYM ENG SCI, V50, P","IN RECENT YEARS, BEAD FOAMING TECHNOLOGY HAS BEEN OF GREAT INTEREST TO RESEARCHERS BECAUSE IT REPRESENTS A BREAKTHROUGH IN THE PRODUCTION OF LOW DENSI","","","","","","180","","S CHINA UNIV TECHNOL, NATL ENGN RES CTR NOVEL EQUIPMENT POLYMER PROC, KEY LAB POLYMER PROC ENGN, MINIST EDUC CHINA, GUANGZHOU 510640, GUANGDONG, PEOPL","","","","","","2021-08-04","BEAD FOAMING; EXPANDED POLYPROPYLENE; DOUBLE-PEAK MELTING BEHAVIOUR; CRYSTALLIZATION; DIE EFFECT","10.1016/j.cej.2012.10.043","ARTICLE","","","","1873-3212","PARK@MIE.UTORONTO.CA","188","","CONSORTIUM OF CELLULAR AND MICROCELLULAR PLASTICS (CCMCP); CHINA SCHOLARSHIP COUNCILCHINA SCHOLARSHIP COUNCIL","THE AUTHORS WOULD LIKE TO THANK THE HONAM PETROCHEMICAL COMPANY FOR GENEROUSLY DONATING THE PP USED IN THIS STUDY AND MEMBERS OF THE CONSORTIUM OF CEL","095GM","","","SHEAR-INDUCED CRYSTALLIZATION; DIE GEOMETRY; ISOTACTIC POLYPROPYLENE; NUMERICAL-SIMULATION; CELL NUCLEATION; POLYSTYRENE; EXPANSION; POLYETHYLENE","","CHEM ENG J","CHEM. ENG. J.","ENGLISH","43","","PARK, CHUL B/0000-0002-1702-1268","PO BOX 564, 1001 LAUSANNE, SWITZERLAND","JAN 1","9","LAUSANNE","","","J","ELSEVIER SCIENCE SA","2013","","PARK, CB (CORRESPONDING AUTHOR), UNIV TORONTO, DEPT MECH & IND ENGN, MICROCELLULAR PLAST MFG LAB, TORONTO, ON M5S 3G8, CANADA.","ENGINEERING","","","1385-8947","CHEMICAL ENGINEERING JOURNAL","","","60","CRITICAL PROCESSING PARAMETERS FOR FOAMED BEAD MANUFACTURING IN A LAB-SCALE AUTOCLAVE SYSTEM","1","67","WOS:000315322700023","214","ENGINEERING, ENVIRONMENTAL; ENGINEERING, CHEMICAL","64","ISI","S CHINA UNIV TECHNOL;UNIV TORONTO","UNIV TORONTO","","GUO YT, 2013, CHEM ENG J","GUO YT, 2013, CHEM ENG J"
"GALLETTA M;SCARAVAGGI S;MACERATA E;FAMULARI A;MELE A;PANZERI W;SANSONE F;CASNATI A;MARIANI M","GALLETTA, MICHELE;SCARAVAGGI, STEFANO;MACERATA, ELENA;FAMULARI, ANTONINO;MELE, ANDREA;PANZERI, WALTER;SANSONE, FRANCESCO;CASNATI, ALESSANDRO;MARIANI,","ALYAPYSHEV M. Y., 2004, RADIOCHEMISTRY, V46, P270;ALYAPYSHEV MY, 2008, MENDELEEV COMMUN, V18, P336, DOI 10.1016/J.MENCOM.2008.11.018;ANEHEIM E, 2011,","FOUR LIPOPHILIC 1,10-PHENANTHROLINE DI(THIO) AMIDE, DIESTER OR DIKETONE DERIVATIVES WERE STUDIED AS LIGANDS FOR AM(III)/EU(III) SEPARATION FROM ACIDIC","","","","","","16930","","POLITECN MILAN, DEPT ENERGY, I-20133 MILAN, ITALY.;  POLITECN MILAN, DEPT CHEM MAT & CHEM ENGN, I-20133 MILAN, ITALY.;  CNR IST CHIM RICONOSCIMENTO MO","","","","","","2021-08-04","","10.1039/c3dt52104d","ARTICLE","","","","1477-9234","CASNATI@UNIPR.IT; MARIO.MARIANI@POLIMI.IT","16938","","EUEUROPEAN COMMISSION [211267]","WE THANK THE EU (ACSEPT ACTINIDE RECYCLING BY SEPARATION AND TRANSMUTATION PROJECT 211267) FOR FINANCIAL SUPPORT.","258LX","","","METAL-IONS; 1,10-PHENANTHROLINE-2,9-DICARBOXYLIC ACID; EXTRACTION AGENTS; HIGHER CHARGE; SEPARATION; LANTHANIDES(III); ACTINIDES(III); COMPLEXATION; 2","48","DALTON T","DALTON TRANS.","ENGLISH","39","","SANSONE, FRANCESCO/0000-0003-0531-9865; FAMULARI, ANTONINO/0000-0001-5287-1092; MELE, ANDREA/0000-0002-0351-0538; PANZERI, WALTER/0000-0003-4191-4303;","THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE CB4 0WF, CAMBS, ENGLAND","","9","CAMBRIDGE","24091998","","J","ROYAL SOC CHEMISTRY","2013","SANSONE, FRANCESCO/L-7269-2015; FAMULARI, ANTONINO/L-1814-2013; MELE, ANDREA/C-7448-2011; PANZERI, WALTER/B-7681-2015; CASNATI, ALESSANDRO/G-8310-2011","CASNATI, A (CORRESPONDING AUTHOR), UNIV PARMA, DEPT CHEM, PARCO AREA SCI 17-A, I-43124 PARMA, ITALY.","CHEMISTRY","","","1477-9226","DALTON TRANSACTIONS","","","44","2,9-DICARBONYL-1,10-PHENANTHROLINE DERIVATIVES WITH AN UNPRECEDENTED AM(III)/EU(III) SELECTIVITY UNDER HIGHLY ACIDIC CONDITIONS","2","36","WOS:000327461900032","42","CHEMISTRY, INORGANIC & NUCLEAR","45","ISI","POLITECN MILAN;POLITECN MILAN;CNR IST CHIM RICONOSCIMENTO MOL;UNIV PARMA","UNIV PARMA","","GALLETTA M, 2013, DALTON T","GALLETTA M, 2013, DALTON T"
"LU ZX;LIU Q;HAN HT;ZHANG DH","LU, ZIXING;LIU, QIANG;HAN, HAITAO;ZHANG, DAHAI","BARTULI C, 2009, J EUR CERAM SOC, V29, P2979, DOI 10.1016/J.JEURCERAMSOC.2009.04.035;BECHER PF, 1996, ACTA MATER, V44, P3881, DOI 10.1016/S1359-6454(9","TWO TYPES OF POROUS SI3N4 CERAMICS WITH DIFFERENT POROSITY ARE FABRICATED BY GEL CASTING TECHNIQUE, WHERE THE HIGH PURE AL2O3 AND Y2O3 ARE SELECTED AS","","","","","","201","","BEIHANG UNIV, INST SOLID MECH, BEIJING 100191, PEOPLES R CHINA.;  NATL KEY LAB ADV FUNCT COMPOSITE MAT TECHNOL, BEIJING 100076, PEOPLES R CHINA.;","","","","","","2021-08-04","POROUS SI3N4 CERAMICS; COMPRESSION; FINITE ELEMENT; YOUNG'S MODULUS; STRENGTH","10.1016/j.msea.2012.08.081","ARTICLE","","","","1873-4936","LUZIXING@BUAA.EDU.CN","209","","NATIONAL NATURAL SCIENCE FOUNDATION OF CHINANATIONAL NATURAL SCIENCE FOUNDATION OF CHINA (NSFC) [11272030, 10932001, 11072015, 11002011]; SCIENTIFIC R","THE AUTHORS THANK THE SUPPORT FROM THE NATIONAL NATURAL SCIENCE FOUNDATION OF CHINA (11272030, 10932001, 11072015, AND 11002011) AND THE SCIENTIFIC RE","058HB","","","PORE-FORMING AGENT; O-N GLASSES; MECHANICAL-PROPERTIES; GRAIN-GROWTH; SI3N4 CERAMICS; MICROSTRUCTURAL DESIGN; FRACTURE-TOUGHNESS; OXYNITRIDE GLASSES;","","MAT SCI ENG A-STRUCT","MATER. SCI. ENG. A-STRUCT. MATER. PROP. MICROSTRUCT. PROCESS.","ENGLISH","42","","","PO BOX 564, 1001 LAUSANNE, SWITZERLAND","JAN 1","9","LAUSANNE","","","J","ELSEVIER SCIENCE SA","2013","","LU, ZX (CORRESPONDING AUTHOR), BEIHANG UNIV, INST SOLID MECH, BEIJING 100191, PEOPLES R CHINA.","SCIENCE & TECHNOLOGY - OTHER TOPICS; MATERIALS SCIENCE; METALLURGY & METALLURGICAL ENGINEERING","","","0921-5093","MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROSTRUCTURE AND PROCESSING","","","20","EXPERIMENT AND MODELING ON THE COMPRESSIVE BEHAVIORS FOR POROUS SILICON NITRIDE CERAMICS","1","60","WOS:000312623600025","559","NANOSCIENCE & NANOTECHNOLOGY; MATERIALS SCIENCE, MULTIDISCIPLINARY; METALLURGY & METALLURGICAL ENGINEERING","23","ISI","BEIHANG UNIV;NATL KEY LAB ADV FUNCT COMPOSITE MAT TECHNOL","BEIHANG UNIV","","LU ZX, 2013, MAT SCI ENG A-STRUCT","LU ZX, 2013, MAT SCI ENG A-STRUCT"
